BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,STOCK_SELL_VALUE,CURRENCY,DATE,Quantity_KT_Inventory
2023-12-31,CHINA-WAREHOUSE,MAT-0198,7701,73241,CNY,2023-12-31,0.023325
2023-12-31,CHINA-WAREHOUSE,MAT-0198,5498,352230,CNY,2023-12-31,0.112175
2023-12-31,CHINA-WAREHOUSE,MAT-0198,4008,166420,CNY,2023-12-31,0.053
2023-12-31,CHINA-WAREHOUSE,MAT-0198,7484,7850,CNY,2023-12-31,0.0025
2023-12-31,CHINA-WAREHOUSE,MAT-0198,9399,495728,CNY,2023-12-31,0.157875
2023-12-31,CHINA-WAREHOUSE,MAT-0198,9553,233145,CNY,2023-12-31,0.07425
2023-12-31,CHINA-WAREHOUSE,MAT-0100,SCRAP,27779,CNY,2023-12-31,0.004599
2023-12-31,CHINA-WAREHOUSE,MAT-0095,SCRAP,2251,CNY,2023-12-31,0.001631
2023-12-31,CHINA-WAREHOUSE,MAT-0095,SCRAP,35,CNY,2023-12-31,2.5e-05
2023-12-31,CHINA-WAREHOUSE,MAT-0260,8509A,8976,CNY,2023-12-31,0.0024
2023-12-31,CHINA-WAREHOUSE,MAT-0204,4880A,35904,CNY,2023-12-31,0.0096
2023-12-31,CHINA-WAREHOUSE,MAT-0204,8331A,2244,CNY,2023-12-31,0.0006
2023-12-31,CHINA-WAREHOUSE,MAT-0052,4755A,31416,CNY,2023-12-31,0.0084
2023-12-31,CHINA-WAREHOUSE,MAT-0412,1045A,15708,CNY,2023-12-31,0.0042
2023-12-31,CHINA-WAREHOUSE,MAT-0261,P9226A,178,CNY,2023-12-31,0.0
2023-12-31,CHINA-WAREHOUSE,MAT-0261,P3205A,9078,CNY,2023-12-31,0.001175
2023-12-31,CHINA-WAREHOUSE,MAT-0261,P7905A,1451590,CNY,2023-12-31,0.203875
2023-12-31,CHINA-WAREHOUSE,MAT-0141,SCRAP,31033,CNY,2023-12-31,0.008298
2023-12-31,CHINA-WAREHOUSE,MAT-0313,P7592A,6336,CNY,2023-12-31,0.0015
2023-12-31,CHINA-WAREHOUSE,MAT-0313,P8966A,4059,CNY,2023-12-31,0.001025
2023-12-31,CHINA-WAREHOUSE,MAT-0199,SCRAP,86080,CNY,2023-12-31,0.005999
2023-12-31,CHINA-WAREHOUSE,MAT-0199,T2455A,16861,CNY,2023-12-31,0.001175
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V8051A,12556,CNY,2023-12-31,0.000875
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V7518A,1435,CNY,2023-12-31,0.0001
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V2061A,9686,CNY,2023-12-31,0.000675
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V4761A,7534,CNY,2023-12-31,0.000525
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V2724A,1794,CNY,2023-12-31,0.000125
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V6816A,14350,CNY,2023-12-31,0.001
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V3118A,9328,CNY,2023-12-31,0.00065
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V2011A,5023,CNY,2023-12-31,0.00035
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V4008A,18655,CNY,2023-12-31,0.0013
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V3640A,19014,CNY,2023-12-31,0.001325
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V6558A,21525,CNY,2023-12-31,0.0015
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V6789A,10404,CNY,2023-12-31,0.000725
2023-12-31,CHINA-WAREHOUSE,MAT-0200,8656A,4488,CNY,2023-12-31,0.0012
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V5128A,15134,CNY,2023-12-31,0.001425
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V7560A,15399,CNY,2023-12-31,0.00145
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V8893A,12213,CNY,2023-12-31,0.00115
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V6677A,11682,CNY,2023-12-31,0.0011
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V7073A,13275,CNY,2023-12-31,0.00125
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V4933A,2005587,CNY,2023-12-31,0.18885
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V6666A,2373039,CNY,2023-12-31,0.22345
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V6609A,669060,CNY,2023-12-31,0.063
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V2490A,2246130,CNY,2023-12-31,0.2115
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V6324A,1560344,CNY,2023-12-31,0.146925
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V1368A,2770758,CNY,2023-12-31,0.2609
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V1228A,1062,CNY,2023-12-31,0.0001
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V5600A,13275,CNY,2023-12-31,0.00125
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V5108A,157707,CNY,2023-12-31,0.01485
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V5281A,31860,CNY,2023-12-31,0.003
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V5554A,2165949,CNY,2023-12-31,0.20395
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V1211A,1322190,CNY,2023-12-31,0.1245
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V9895A,3248924,CNY,2023-12-31,0.305925
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V4276A,1894874,CNY,2023-12-31,0.178425
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V2118A,2436759,CNY,2023-12-31,0.22945
2023-12-31,CHINA-WAREHOUSE,MAT-0314,V4288A,3670443,CNY,2023-12-31,0.30715
2023-12-31,CHINA-WAREHOUSE,MAT-0314,V5728A,38240,CNY,2023-12-31,0.0032
2023-12-31,CHINA-WAREHOUSE,MAT-0314,V3829A,3619954,CNY,2023-12-31,0.302925
2023-12-31,CHINA-WAREHOUSE,MAT-0314,V5271A,3691355,CNY,2023-12-31,0.3089
2023-12-31,CHINA-WAREHOUSE,MAT-0144,V2780A,1800090,CNY,2023-12-31,0.1695
2023-12-31,CHINA-WAREHOUSE,MAT-0144,V2658A,3614783,CNY,2023-12-31,0.340375
2023-12-31,CHINA-WAREHOUSE,MAT-0144,V1646A,5032287,CNY,2023-12-31,0.47385
2023-12-31,CHINA-WAREHOUSE,MAT-0144,V2470A,3089889,CNY,2023-12-31,0.29095
2023-12-31,CHINA-WAREHOUSE,MAT-0144,V3163A,443385,CNY,2023-12-31,0.04175
2023-12-31,CHINA-WAREHOUSE,MAT-0144,V2128A,1984878,CNY,2023-12-31,0.1869
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V4024A,15588,CNY,2023-12-31,0.00145
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V6439A,3225,CNY,2023-12-31,0.0003
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V4459A,15319,CNY,2023-12-31,0.001425
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V7020A,11556,CNY,2023-12-31,0.001075
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V8570A,13706,CNY,2023-12-31,0.001275
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V4616A,15588,CNY,2023-12-31,0.00145
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V6075A,15319,CNY,2023-12-31,0.001425
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V3108A,16125,CNY,2023-12-31,0.0015
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V5715A,691494,CNY,2023-12-31,0.064325
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V1630A,3755781,CNY,2023-12-31,0.349375
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V1892A,1546925,CNY,2023-12-31,0.1439
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V1395A,6125888,CNY,2023-12-31,0.56985
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V9333A,435375,CNY,2023-12-31,0.0405
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V2710A,2821338,CNY,2023-12-31,0.26245
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V2944A,5062713,CNY,2023-12-31,0.47095
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V8079A,2176875,CNY,2023-12-31,0.2025
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V1803A,3821088,CNY,2023-12-31,0.35545
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V2181A,6125619,CNY,2023-12-31,0.569825
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V3873A,532125,CNY,2023-12-31,0.0495
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V9093A,16125,CNY,2023-12-31,0.0015
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V8111A,8722,CNY,2023-12-31,0.000725
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V6573A,17444,CNY,2023-12-31,0.00145
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V3022A,17444,CNY,2023-12-31,0.00145
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V8378A,6917,CNY,2023-12-31,0.000575
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V9426A,16842,CNY,2023-12-31,0.0014
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V5047A,15639,CNY,2023-12-31,0.0013
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V9246A,17143,CNY,2023-12-31,0.001425
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V5743A,15940,CNY,2023-12-31,0.001325
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V2917A,15338,CNY,2023-12-31,0.001275
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V9091A,16541,CNY,2023-12-31,0.001375
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V7687A,15038,CNY,2023-12-31,0.00125
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V6880A,17143,CNY,2023-12-31,0.001425
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V4178A,17143,CNY,2023-12-31,0.001425
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V5711A,16541,CNY,2023-12-31,0.001375
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V7718A,17143,CNY,2023-12-31,0.001425
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V4922A,16241,CNY,2023-12-31,0.00135
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V3011A,15639,CNY,2023-12-31,0.0013
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V9468A,17444,CNY,2023-12-31,0.00145
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V9135A,3066146,CNY,2023-12-31,0.254875
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V6285A,3806894,CNY,2023-12-31,0.31645
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V4634A,6547328,CNY,2023-12-31,0.54425
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V4193A,288119,CNY,2023-12-31,0.02395
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V2662A,3066748,CNY,2023-12-31,0.254925
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V6964A,2056228,CNY,2023-12-31,0.170925
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V1126A,1009919,CNY,2023-12-31,0.08395
2023-12-31,CHINA-WAREHOUSE,MAT-0001,V8818A,3066447,CNY,2023-12-31,0.2549
2023-12-31,CHINA-WAREHOUSE,MAT-0201,V2440A,8231,CNY,2023-12-31,0.000775
2023-12-31,CHINA-WAREHOUSE,MAT-0201,V2478A,13806,CNY,2023-12-31,0.0013
2023-12-31,CHINA-WAREHOUSE,MAT-0201,V9112A,375948,CNY,2023-12-31,0.0354
2023-12-31,CHINA-WAREHOUSE,MAT-0201,V5858A,476838,CNY,2023-12-31,0.0449
2023-12-31,CHINA-WAREHOUSE,MAT-0201,V8517A,652334,CNY,2023-12-31,0.061425
2023-12-31,CHINA-WAREHOUSE,MAT-0201,V6160A,1783629,CNY,2023-12-31,0.16795
2023-12-31,CHINA-WAREHOUSE,MAT-0201,V3718A,2245334,CNY,2023-12-31,0.211425
2023-12-31,CHINA-WAREHOUSE,MAT-0201,V1024A,3168743,CNY,2023-12-31,0.298375
2023-12-31,CHINA-WAREHOUSE,MAT-0262,E9917A,363825,CNY,2023-12-31,0.0495
2023-12-31,CHINA-WAREHOUSE,MAT-0319,S5659A,7534,CNY,2023-12-31,0.001025
2023-12-31,CHINA-WAREHOUSE,MAT-0319,S5796A,4365349,CNY,2023-12-31,0.593925
2023-12-31,CHINA-WAREHOUSE,MAT-0319,S9864A,1595134,CNY,2023-12-31,0.217025
2023-12-31,CHINA-WAREHOUSE,MAT-0319,S4343A,1091475,CNY,2023-12-31,0.1485
