OUTBOUND_DATE,PLANT_NAME,MODE_OF_TRANSPORT,MATERIAL_NAME,CUSTOMER_NUMBER,DATE,Quantity_KT_Out
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00030,2024-01-02,0.0225
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00025,2024-01-02,0.0002
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00025,2024-01-02,5e-05
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00025,2024-01-02,0.0001
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00031,2024-01-02,0.003
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00032,2024-01-02,0.0005
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00033,2024-01-02,0.0055
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00034,2024-01-02,0.005
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00034,2024-01-02,0.0225
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00034,2024-01-02,0.01738
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00034,2024-01-02,0.00013000000000000002
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,2024-01-02,0.00065
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,2024-01-02,0.015130000000000001
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,2024-01-02,0.02195
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,2024-01-02,0.00138
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,2024-01-02,0.0011799999999999998
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,2024-01-02,0.00098
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,2024-01-02,0.00125
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,2024-01-02,0.00413
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,2024-01-02,0.00138
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,2024-01-02,0.0013
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,2024-01-02,0.0002
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00021,2024-01-02,0.009
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0195,CST-00026,2024-01-02,8e-05
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0195,CST-00026,2024-01-02,2.9999999999999997e-05
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,2024-01-02,0.02475
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00008,2024-01-02,0.022
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00008,2024-01-02,0.0006
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00008,2024-01-02,0.00128
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00008,2024-01-02,0.00088
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00008,2024-01-02,0.02475
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00035,2024-01-02,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00036,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00036,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00037,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00037,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00038,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00039,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00039,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00037,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00037,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00037,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00038,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00039,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00037,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00037,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00040,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00041,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00042,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00043,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00044,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00043,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00043,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00045,2024-01-03,0.0255
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00046,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00048,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00049,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00049,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00050,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00051,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00051,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0428,CST-00016,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0428,CST-00016,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00035,2024-01-03,0.02475
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00049,2024-01-03,0.0089
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00050,2024-01-03,0.01788
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00049,2024-01-03,0.01585
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00053,2024-01-03,0.02
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00053,2024-01-03,0.0225
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00053,2024-01-03,0.0025
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00003,2024-01-03,0.012
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00003,2024-01-03,0.027
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00030,2024-01-03,0.0105
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00054,2024-01-03,0.015
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00055,2024-01-03,0.0015
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00056,2024-01-03,0.00135
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00056,2024-01-03,0.0067800000000000004
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00056,2024-01-03,8e-05
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00056,2024-01-03,0.01648
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00056,2024-01-03,8e-05
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0064,CST-00057,2024-01-03,0.023
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0064,CST-00057,2024-01-03,0.023
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0064,CST-00057,2024-01-03,0.023
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00058,2024-01-03,0.0165
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00058,2024-01-03,0.0165
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0378,CST-00059,2024-01-03,0.01925
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00058,2024-01-03,0.0165
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0378,CST-00059,2024-01-03,0.0055
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00060,2024-01-03,0.00103
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00060,2024-01-03,0.0004
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00060,2024-01-03,0.00133
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00037,2024-01-03,0.0225
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00037,2024-01-03,0.0135
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00038,2024-01-03,0.015
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,2024-01-03,0.00013000000000000002
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,2024-01-03,0.00138
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0375,CST-00025,2024-01-03,0.0001
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00061,2024-01-03,0.009
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0005,CST-00062,2024-01-03,2.9999999999999997e-05
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00063,2024-01-03,0.00433
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00063,2024-01-03,0.021
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00063,2024-01-03,0.00017999999999999998
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0142,CST-00064,2024-01-03,0.018
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00065,2024-01-03,0.015
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00011,2024-01-03,0.0246
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00011,2024-01-03,2.9999999999999997e-05
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00011,2024-01-03,0.00013000000000000002
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,2024-01-03,5e-05
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,2024-01-03,0.01375
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,2024-01-03,0.00028000000000000003
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,2024-01-03,0.01068
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0111,CST-00066,2024-01-03,0.00825
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0111,CST-00066,2024-01-03,0.0165
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00037,2024-01-03,0.012
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00038,2024-01-03,0.015
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00038,2024-01-03,0.009
2024-01-03,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00065,2024-01-03,0.0105
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,2024-01-04,0.0255
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00067,2024-01-04,0.0255
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00068,2024-01-04,0.0255
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00069,2024-01-04,0.0255
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00043,2024-01-04,0.0255
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00058,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00002,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00002,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00070,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00070,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00058,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00046,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00049,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00050,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00050,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00050,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00071,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0099,CST-00011,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00073,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00073,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00074,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00075,2024-01-04,0.003
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00003,2024-01-04,0.003
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00003,2024-01-04,0.00285
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00003,2024-01-04,0.00015
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0046,CST-00076,2024-01-04,5e-05
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0317,CST-00077,2024-01-04,0.0005
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0340,CST-00078,2024-01-04,8e-05
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0340,CST-00078,2024-01-04,0.00013000000000000002
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00079,2024-01-04,0.0005
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00037,2024-01-04,0.0135
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0333,CST-00080,2024-01-04,0.0001
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00079,2024-01-04,0.00017999999999999998
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00079,2024-01-04,5e-05
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00079,2024-01-04,0.00128
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00081,2024-01-04,0.01238
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00082,2024-01-04,0.0045
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00083,2024-01-04,0.018
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00084,2024-01-04,0.01
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00085,2024-01-04,0.015
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00084,2024-01-04,0.0125
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2024-01-04,8e-05
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2024-01-04,0.01228
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2024-01-04,0.0013
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2024-01-04,0.009630000000000001
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2024-01-04,0.00268
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2024-01-04,0.0013
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2024-01-04,0.00023
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2024-01-04,0.022
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2024-01-04,2.9999999999999997e-05
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,2024-01-04,0.023379999999999998
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,2024-01-04,0.019030000000000002
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,2024-01-04,0.0055
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,2024-01-04,0.00023
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,2024-01-04,0.00138
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00074,2024-01-04,0.01925
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00074,2024-01-04,0.0055
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0046,CST-00025,2024-01-04,0.00015
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0055,CST-00025,2024-01-04,0.0002
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00049,2024-01-04,0.0001
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00049,2024-01-04,0.011
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00049,2024-01-04,0.01365
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00037,2024-01-04,0.0255
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00037,2024-01-04,0.012
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00008,2024-01-04,0.01375
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00086,2024-01-04,0.02185
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00086,2024-01-04,0.00015
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00008,2024-01-04,0.011
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00086,2024-01-04,0.00275
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0111,CST-00086,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00035,2024-01-04,0.02475
2024-01-04,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00085,2024-01-04,0.0105
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00087,2024-01-05,0.0255
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00003,2024-01-05,0.0255
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,2024-01-05,0.0255
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00089,2024-01-05,0.0255
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,2024-01-05,0.0255
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,2024-01-05,0.0255
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,2024-01-05,0.0255
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,2024-01-05,0.0255
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00091,2024-01-05,0.0255
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00002,2024-01-05,0.02475
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,2024-01-05,0.02475
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,2024-01-05,0.02475
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,2024-01-05,0.02475
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,2024-01-05,0.02475
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,2024-01-05,0.02475
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00046,2024-01-05,0.02475
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2024-01-05,0.02475
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,2024-01-05,0.02475
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,2024-01-05,0.02475
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,2024-01-05,0.02475
2024-01-05,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00092,2024-01-05,0.02475
