INBOUND_DATE,PLANT_NAME,MATERIAL_NAME,DATE,Quantity_KT_In
2023-11-03,CHINA-WAREHOUSE,MAT-0237,2023-11-03,24.75
2023-11-03,CHINA-WAREHOUSE,MAT-0237,2023-11-03,24.75
2023-11-03,CHINA-WAREHOUSE,MAT-0237,2023-11-03,24.75
2023-11-03,CHINA-WAREHOUSE,MAT-0237,2023-11-03,24.75
2023-11-03,CHINA-WAREHOUSE,MAT-0237,2023-11-03,24.75
2023-11-03,CHINA-WAREHOUSE,MAT-0237,2023-11-03,24.75
2023-11-03,CHINA-WAREHOUSE,MAT-0237,2023-11-03,24.75
2023-11-03,CHINA-WAREHOUSE,MAT-0237,2023-11-03,24.75
2023-11-03,CHINA-WAREHOUSE,MAT-0237,2023-11-03,24.75
2023-11-03,CHINA-WAREHOUSE,MAT-0237,2023-11-03,15.125
2023-11-03,CHINA-WAREHOUSE,MAT-0237,2023-11-03,9.625
2023-11-09,CHINA-WAREHOUSE,MAT-0332,2023-11-09,20.0
2023-11-09,CHINA-WAREHOUSE,MAT-0332,2023-11-09,11.25
2023-11-09,CHINA-WAREHOUSE,MAT-0332,2023-11-09,8.75
2023-11-09,CHINA-WAREHOUSE,MAT-0332,2023-11-09,20.0
2023-11-09,CHINA-WAREHOUSE,MAT-0332,2023-11-09,20.0
2023-11-09,CHINA-WAREHOUSE,MAT-0332,2023-11-09,20.0
2023-11-09,CHINA-WAREHOUSE,MAT-0332,2023-11-09,10.0
2023-11-09,CHINA-WAREHOUSE,MAT-0332,2023-11-09,10.0
2023-11-09,CHINA-WAREHOUSE,MAT-0332,2023-11-09,20.0
2023-11-09,CHINA-WAREHOUSE,MAT-0332,2023-11-09,20.0
2023-11-09,CHINA-WAREHOUSE,MAT-0009,2023-11-09,20.8
2023-11-09,CHINA-WAREHOUSE,MAT-0009,2023-11-09,5.2
2023-11-09,CHINA-WAREHOUSE,MAT-0009,2023-11-09,14.95
2023-11-09,CHINA-WAREHOUSE,MAT-0009,2023-11-09,0.65
2023-11-09,CHINA-WAREHOUSE,MAT-0009,2023-11-09,20.8
2023-12-03,CHINA-WAREHOUSE,MAT-0198,2023-12-03,24.75
2023-12-03,CHINA-WAREHOUSE,MAT-0198,2023-12-03,24.75
2023-12-03,CHINA-WAREHOUSE,MAT-0198,2023-12-03,0.675
2023-12-03,CHINA-WAREHOUSE,MAT-0198,2023-12-03,23.375
2023-12-03,CHINA-WAREHOUSE,MAT-0198,2023-12-03,24.75
2023-11-18,CHINA-WAREHOUSE,MAT-0099,2023-11-18,24.75
2023-11-18,CHINA-WAREHOUSE,MAT-0099,2023-11-18,24.75
2023-11-18,CHINA-WAREHOUSE,MAT-0099,2023-11-18,1.375
2023-11-18,CHINA-WAREHOUSE,MAT-0099,2023-11-18,23.375
2023-11-18,CHINA-WAREHOUSE,MAT-0099,2023-11-18,8.25
2023-11-18,CHINA-WAREHOUSE,MAT-0099,2023-11-18,16.5
2023-11-18,CHINA-WAREHOUSE,MAT-0237,2023-11-18,23.375
2023-11-18,CHINA-WAREHOUSE,MAT-0237,2023-11-18,12.375
2023-11-18,CHINA-WAREHOUSE,MAT-0237,2023-11-18,12.375
2023-11-18,CHINA-WAREHOUSE,MAT-0237,2023-11-18,24.75
2023-12-03,CHINA-WAREHOUSE,MAT-0198,2023-12-03,1.375
2023-12-03,CHINA-WAREHOUSE,MAT-0198,2023-12-03,23.375
2023-12-03,CHINA-WAREHOUSE,MAT-0198,2023-12-03,11.0
2023-12-03,CHINA-WAREHOUSE,MAT-0198,2023-12-03,13.75
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,12.0
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,13.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-13,CHINA-WAREHOUSE,MAT-0314,2023-12-13,25.5
2023-12-19,CHINA-WAREHOUSE,MAT-0056,2023-12-19,24.75
2023-12-19,CHINA-WAREHOUSE,MAT-0056,2023-12-19,24.75
2023-11-18,CHINA-WAREHOUSE,MAT-0099,2023-11-18,24.75
2023-11-18,CHINA-WAREHOUSE,MAT-0099,2023-11-18,24.75
2023-11-18,CHINA-WAREHOUSE,MAT-0237,2023-11-18,23.375
2023-11-18,CHINA-WAREHOUSE,MAT-0237,2023-11-18,23.375
2023-11-18,CHINA-WAREHOUSE,MAT-0237,2023-11-18,23.375
2023-11-18,CHINA-WAREHOUSE,MAT-0237,2023-11-18,23.375
2023-11-18,CHINA-WAREHOUSE,MAT-0237,2023-11-18,16.5
2023-11-18,CHINA-WAREHOUSE,MAT-0237,2023-11-18,6.875
2023-11-18,CHINA-WAREHOUSE,MAT-0237,2023-11-18,2.75
2023-11-18,CHINA-WAREHOUSE,MAT-0237,2023-11-18,22.0
2023-11-18,CHINA-WAREHOUSE,MAT-0237,2023-11-18,24.75
2023-12-16,CHINA-WAREHOUSE,MAT-0328,2023-12-16,22.5
2023-12-16,CHINA-WAREHOUSE,MAT-0328,2023-12-16,3.0
2023-12-16,CHINA-WAREHOUSE,MAT-0328,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0314,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0314,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0314,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0314,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0314,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0328,2023-12-16,1.5
2023-12-16,CHINA-WAREHOUSE,MAT-0328,2023-12-16,24.0
2023-12-16,CHINA-WAREHOUSE,MAT-0328,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0328,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0328,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0328,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0328,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0328,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0328,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0314,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0314,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0314,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0314,2023-12-16,25.5
2023-12-16,CHINA-WAREHOUSE,MAT-0314,2023-12-16,25.5
2023-12-29,CHINA-WAREHOUSE,MAT-0356,2023-12-29,22.0
2023-12-29,CHINA-WAREHOUSE,MAT-0356,2023-12-29,2.75
2023-11-11,CHINA-WAREHOUSE,MAT-0229,2023-11-11,24.75
2023-11-11,CHINA-WAREHOUSE,MAT-0229,2023-11-11,24.75
2023-11-11,CHINA-WAREHOUSE,MAT-0229,2023-11-11,24.75
2023-11-11,CHINA-WAREHOUSE,MAT-0229,2023-11-11,24.75
2023-11-11,CHINA-WAREHOUSE,MAT-0229,2023-11-11,24.75
2023-11-11,CHINA-WAREHOUSE,MAT-0229,2023-11-11,24.75
2023-11-11,CHINA-WAREHOUSE,MAT-0229,2023-11-11,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0375,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0375,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0375,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0084,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0084,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0084,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0084,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0084,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0084,2023-12-17,24.75
2023-12-19,CHINA-WAREHOUSE,MAT-0147,2023-12-19,25.5
2023-12-19,CHINA-WAREHOUSE,MAT-0147,2023-12-19,25.5
2023-12-19,CHINA-WAREHOUSE,MAT-0147,2023-12-19,25.5
2023-12-19,CHINA-WAREHOUSE,MAT-0147,2023-12-19,25.5
2023-12-19,CHINA-WAREHOUSE,MAT-0147,2023-12-19,25.5
2023-12-19,CHINA-WAREHOUSE,MAT-0321,2023-12-19,24.75
2023-12-19,CHINA-WAREHOUSE,MAT-0321,2023-12-19,24.75
2023-12-19,CHINA-WAREHOUSE,MAT-0321,2023-12-19,24.75
2023-12-19,CHINA-WAREHOUSE,MAT-0321,2023-12-19,24.75
2023-12-19,CHINA-WAREHOUSE,MAT-0321,2023-12-19,24.75
2023-12-19,CHINA-WAREHOUSE,MAT-0321,2023-12-19,24.75
2023-12-19,CHINA-WAREHOUSE,MAT-0265,2023-12-19,24.75
2023-12-19,CHINA-WAREHOUSE,MAT-0265,2023-12-19,24.75
2023-12-19,CHINA-WAREHOUSE,MAT-0265,2023-12-19,24.75
2023-12-19,CHINA-WAREHOUSE,MAT-0265,2023-12-19,24.75
2023-12-19,CHINA-WAREHOUSE,MAT-0265,2023-12-19,24.75
2023-12-19,CHINA-WAREHOUSE,MAT-0265,2023-12-19,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0321,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0321,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-29,CHINA-WAREHOUSE,MAT-0356,2023-12-29,24.75
2023-12-29,CHINA-WAREHOUSE,MAT-0356,2023-12-29,24.75
2023-12-29,CHINA-WAREHOUSE,MAT-0356,2023-12-29,5.5
2023-12-29,CHINA-WAREHOUSE,MAT-0356,2023-12-29,19.25
2023-12-29,CHINA-WAREHOUSE,MAT-0356,2023-12-29,8.25
2023-12-29,CHINA-WAREHOUSE,MAT-0356,2023-12-29,16.5
2023-11-11,CHINA-WAREHOUSE,MAT-0229,2023-11-11,20.625
2023-11-11,CHINA-WAREHOUSE,MAT-0229,2023-11-11,4.125
2023-11-11,CHINA-WAREHOUSE,MAT-0229,2023-11-11,15.125
2023-11-11,CHINA-WAREHOUSE,MAT-0229,2023-11-11,9.625
2023-11-11,CHINA-WAREHOUSE,MAT-0229,2023-11-11,23.375
2023-11-11,CHINA-WAREHOUSE,MAT-0229,2023-11-11,1.375
2023-12-17,CHINA-WAREHOUSE,MAT-0314,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0314,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0314,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0321,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0321,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0321,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0321,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0321,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0321,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0321,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0321,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0321,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0321,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0321,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0321,2023-12-17,24.75
2023-12-17,CHINA-WAREHOUSE,MAT-0328,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0328,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0328,2023-12-17,10.5
2023-12-17,CHINA-WAREHOUSE,MAT-0328,2023-12-17,15.0
2023-12-17,CHINA-WAREHOUSE,MAT-0328,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0328,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0328,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0328,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0328,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0328,2023-12-17,1.5
2023-12-17,CHINA-WAREHOUSE,MAT-0328,2023-12-17,24.0
2023-12-17,CHINA-WAREHOUSE,MAT-0328,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0270,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0270,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0270,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0270,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0270,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0270,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0270,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0270,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0270,2023-12-17,25.5
2023-12-17,CHINA-WAREHOUSE,MAT-0270,2023-12-17,25.5
2023-12-23,CHINA-WAREHOUSE,MAT-0314,2023-12-23,25.5
2023-12-23,CHINA-WAREHOUSE,MAT-0314,2023-12-23,25.5
2023-12-23,CHINA-WAREHOUSE,MAT-0314,2023-12-23,25.5
2023-12-26,CHINA-WAREHOUSE,MAT-0321,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0321,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0321,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0321,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0053,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0053,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0053,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0265,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0317,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0317,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0317,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0317,2023-12-26,5.5
2023-12-26,CHINA-WAREHOUSE,MAT-0317,2023-12-26,19.25
2023-12-26,CHINA-WAREHOUSE,MAT-0317,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0317,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0353,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0353,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0353,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0353,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0353,2023-12-26,24.75
2023-12-26,CHINA-WAREHOUSE,MAT-0353,2023-12-26,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0266,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0266,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0266,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0266,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0266,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0379,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0379,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0042,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0042,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0042,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0042,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0042,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0353,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0353,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0353,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0353,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0353,2023-12-28,24.75
2023-12-23,CHINA-WAREHOUSE,MAT-0314,2023-12-23,25.5
2023-12-23,CHINA-WAREHOUSE,MAT-0314,2023-12-23,21.0
2023-12-23,CHINA-WAREHOUSE,MAT-0314,2023-12-23,4.5
2023-12-23,CHINA-WAREHOUSE,MAT-0314,2023-12-23,25.5
2023-12-23,CHINA-WAREHOUSE,MAT-0314,2023-12-23,25.5
2023-12-23,CHINA-WAREHOUSE,MAT-0314,2023-12-23,25.5
2023-12-23,CHINA-WAREHOUSE,MAT-0314,2023-12-23,25.5
2023-12-23,CHINA-WAREHOUSE,MAT-0314,2023-12-23,25.5
2023-12-28,CHINA-WAREHOUSE,MAT-0265,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0265,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0265,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0265,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0265,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0265,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0266,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0379,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0379,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0042,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0353,2023-12-28,24.75
2023-12-28,CHINA-WAREHOUSE,MAT-0261,2023-12-28,25.5
2023-12-28,CHINA-WAREHOUSE,MAT-0261,2023-12-28,25.5
2023-12-28,CHINA-WAREHOUSE,MAT-0261,2023-12-28,25.5
2023-11-24,CHINA-WAREHOUSE,MAT-0332,2023-11-24,12.5
2023-11-24,CHINA-WAREHOUSE,MAT-0332,2023-11-24,7.5
2023-11-24,CHINA-WAREHOUSE,MAT-0332,2023-11-24,20.0
2023-11-24,CHINA-WAREHOUSE,MAT-0332,2023-11-24,20.0
2023-11-24,CHINA-WAREHOUSE,MAT-0009,2023-11-24,16.9
2023-11-24,CHINA-WAREHOUSE,MAT-0009,2023-11-24,0.65
2023-11-24,CHINA-WAREHOUSE,MAT-0009,2023-11-24,1.95
2023-11-24,CHINA-WAREHOUSE,MAT-0009,2023-11-24,1.3
2023-12-01,CHINA-WAREHOUSE,MAT-0378,2023-12-01,9.625
2023-12-01,CHINA-WAREHOUSE,MAT-0378,2023-12-01,15.125
2023-12-01,CHINA-WAREHOUSE,MAT-0378,2023-12-01,9.625
2023-12-01,CHINA-WAREHOUSE,MAT-0378,2023-12-01,15.125
2023-12-01,CHINA-WAREHOUSE,MAT-0378,2023-12-01,24.75
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,12.5
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,5.0
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,1.25
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,1.25
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,18.75
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,1.25
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,18.75
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,1.25
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,20.0
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,16.25
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,3.75
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,18.75
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,1.25
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,20.0
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,20.0
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,18.75
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,1.25
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,1.25
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,18.75
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,20.0
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,12.5
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,7.5
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,20.0
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,20.0
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,20.0
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,1.25
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,18.75
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,20.0
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,20.0
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,20.0
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,20.0
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,20.0
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,6.25
2023-12-03,CHINA-WAREHOUSE,MAT-0332,2023-12-03,13.75
